ap162_ashtpahud_1970_71.mp3 - ['137', '05 Bhav Pahud', '163-165', 'Guj', None, None]
ap163_ashtpahud_1970_71.mp3 - ['138', '05 Bhav Pahud', '165', 'Guj', None, None]
ap061_ashtpahud_1970_71.mp3 - ['139', '06 Moksh Pahud', '1', 'Hin', None, None]
ap062_ashtpahud_1970_71.mp3 - ['140', '06 Moksh Pahud', '2', 'Hin', None, None]
ap063_ashtpahud_1970_71.mp3 - ['141', '06 Moksh Pahud', '3-5', 'Hin', None, None]
ap064_ashtpahud_1970_71.mp3 - ['142', '06 Moksh Pahud', '5-6', 'Hin', None, None]
ap065_ashtpahud_1970_71.mp3 - ['143', '06 Moksh Pahud', '7-9', 'Hin', None, None]
ap066_ashtpahud_1970_71.mp3 - ['144', '06 Moksh Pahud', '10-13', 'Hin', None, None]
ap067_ashtpahud_1970_71.mp3 - ['145', '06 Moksh Pahud', '13-16', 'Hin', None, None]
ap068_ashtpahud_1970_71.mp3 - ['146', '06 Moksh Pahud', '16-18', 'Hin', None, None]
ap069_ashtpahud_1970_71.mp3 - ['147', '06 Moksh Pahud', '19-21', 'Hin', None, None]
ap070_ashtpahud_1970_71.mp3 - ['148', '06 Moksh Pahud', '22-24', 'Hin', None, None]
ap071_ashtpahud_1970_71.mp3 - ['149', '06 Moksh Pahud', '25-26', 'Hin', None, None]
ap072_ashtpahud_1970_71.mp3 - ['150', '06 Moksh Pahud', '26-28', 'Guj', None, None]
ap073_ashtpahud_1970_71.mp3 - ['151', '06 Moksh Pahud', '29-30', 'Guj', None, None]
ap074_ashtpahud_1970_71.mp3 - ['152', '06 Moksh Pahud', '31-33', 'Guj', None, None]
ap075_ashtpahud_1970_71.mp3 - ['153', '06 Moksh Pahud', '34-37', 'Guj', None, None]
ap076_ashtpahud_1970_71.mp3 - ['154', '06 Moksh Pahud', '37-39', 'Guj', None, None]
ap077_ashtpahud_1970_71.mp3 - ['155', '06 Moksh Pahud', '39-41', 'Guj', None, None]
ap078_ashtpahud_1970_71.mp3 - ['156', '06 Moksh Pahud', '41-43', 'Guj', None, None]
ap079_ashtpahud_1970_71.mp3 - ['157', '06 Moksh Pahud', '44', 'Guj', None, None]
ap080_ashtpahud_1970_71.mp3 - ['158', '06 Moksh Pahud', '45-47', 'Guj', None, None]
ap081_ashtpahud_1970_71.mp3 - ['159', '06 Moksh Pahud', '48-51', 'Hin', None, None]
ap082_ashtpahud_1970_71.mp3 - ['160', '06 Moksh Pahud', '51-53', 'Hin', None, None]
ap084_ashtpahud_1970_71.mp3 - ['162', '06 Moksh Pahud', '55-56', 'Hin', None, None]
ap085_ashtpahud_1970_71.mp3 - ['163', '06 Moksh Pahud', '56-60', 'Hin', None, None]
ap086_ashtpahud_1970_71.mp3 - ['164', '06 Moksh Pahud', '61-62', 'Hin', None, None]
ap087_ashtpahud_1970_71.mp3 - ['165', '06 Moksh Pahud', '63-65', 'Hin', None, None]
